route,character,straight_line_m,profile,algorithm,heuristic,label,found,path_cost,ucs_optimal,optimality_ratio,nodes_expanded,max_frontier,runtime_ms,h_source,h_over_optimal,path_length
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,BFS,none,BFS,True,9.59110792204645,9.59110792204645,1.0,1184,130,0.76,0.0,0.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,DFS,none,DFS,True,476.82664574334683,9.59110792204645,49.71549164276389,6724,1436,9.83,0.0,0.0,1707
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,UCS,none,UCS,True,9.59110792204645,9.59110792204645,1.0,1500,133,6.48,0.0,0.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,IDS,none,IDS,True,9.59110792204645,9.59110792204645,1.0,3066,17,1.75,0.0,0.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,Greedy,h_old,Greedy (h_old),True,15.347040730385292,9.59110792204645,1.6001322115360683,78,34,0.37,0.1715,0.0179,49
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,A*,h_old,A* (h_old),True,9.59110792204645,9.59110792204645,1.0,1409,132,7.85,0.1715,0.0179,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,Weighted A*,h_old,Weighted A* (h_old),True,9.59110792204645,9.59110792204645,1.0,1358,129,7.83,0.1715,0.0179,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,Greedy,h_B,Greedy (h_B),True,15.347040730385292,9.59110792204645,1.6001322115360683,78,34,31.83,0.2389,0.0249,49
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,A*,h_B,A* (h_B),True,9.59110792204645,9.59110792204645,1.0,1369,131,36.47,0.2389,0.0249,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,Weighted A*,h_B,Weighted A* (h_B),True,9.59110792204645,9.59110792204645,1.0,1307,132,37.14,0.2389,0.0249,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,Greedy,h_ALT,Greedy (h_ALT),True,9.59110792204645,9.59110792204645,1.0,30,21,0.59,8.2582,0.861,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,A*,h_ALT,A* (h_ALT),True,9.59110792204645,9.59110792204645,1.0,35,21,0.6,8.2582,0.861,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,fastest,Weighted A*,h_ALT,Weighted A* (h_ALT),True,9.59110792204645,9.59110792204645,1.0,31,20,0.57,8.2582,0.861,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,BFS,none,BFS,True,7.402600278952405,7.402600278952405,1.0,1184,130,0.73,0.0,0.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,DFS,none,DFS,True,891.2366366104852,7.402600278952405,120.39507781400977,6724,1436,12.4,0.0,0.0,1707
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,UCS,none,UCS,True,7.402600278952405,7.402600278952405,1.0,420,119,2.75,0.0,0.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,IDS,none,IDS,True,7.402600278952405,7.402600278952405,1.0,3066,17,1.74,0.0,0.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,Greedy,h_old,Greedy (h_old),True,20.565826433688947,7.402600278952405,2.778189508916638,78,34,0.52,0.0245,0.0033,49
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,A*,h_old,A* (h_old),True,7.402600278952405,7.402600278952405,1.0,418,116,3.04,0.0245,0.0033,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,Weighted A*,h_old,Weighted A* (h_old),True,7.402600278952405,7.402600278952405,1.0,417,115,2.65,0.0245,0.0033,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,Greedy,h_B,Greedy (h_B),True,20.565826433688947,7.402600278952405,2.778189508916638,78,34,33.11,0.0632,0.0085,49
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,A*,h_B,A* (h_B),True,7.402600278952405,7.402600278952405,1.0,407,109,32.38,0.0632,0.0085,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,Weighted A*,h_B,Weighted A* (h_B),True,7.402600278952405,7.402600278952405,1.0,395,106,32.68,0.0632,0.0085,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,Greedy,h_ALT,Greedy (h_ALT),True,7.402600278952405,7.402600278952405,1.0,27,19,0.57,7.4026,1.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,A*,h_ALT,A* (h_ALT),True,7.402600278952405,7.402600278952405,1.0,27,17,0.47,7.4026,1.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,safest,Weighted A*,h_ALT,Weighted A* (h_ALT),True,7.402600278952405,7.402600278952405,1.0,27,17,0.49,7.4026,1.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,balanced,BFS,none,BFS,True,9.400886215317433,9.400886215317433,1.0,1184,130,0.88,0.0,0.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,balanced,DFS,none,DFS,True,788.0589885271382,9.400886215317433,83.82815943917139,6724,1436,9.7,0.0,0.0,1707
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,balanced,UCS,none,UCS,True,9.400886215317433,9.400886215317433,1.0,662,135,3.18,0.0,0.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,balanced,IDS,none,IDS,True,9.400886215317433,9.400886215317433,1.0,3066,17,1.75,0.0,0.0,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,balanced,Greedy,h_old,Greedy (h_old),True,19.977088216777762,9.400886215317433,2.125021807436397,78,34,0.37,0.049,0.0052,49
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,balanced,A*,h_old,A* (h_old),True,9.400886215317433,9.400886215317433,1.0,645,133,4.41,0.049,0.0052,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,balanced,Weighted A*,h_old,Weighted A* (h_old),True,9.400886215317433,9.400886215317433,1.0,638,133,4.02,0.049,0.0052,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,balanced,Greedy,h_B,Greedy (h_B),True,19.977088216777762,9.400886215317433,2.125021807436397,78,34,35.33,0.16,0.017,49
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,balanced,A*,h_B,A* (h_B),True,9.400886215317433,9.400886215317433,1.0,593,130,35.3,0.16,0.017,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,balanced,Weighted A*,h_B,Weighted A* (h_B),True,9.400886215317433,9.400886215317433,1.0,563,130,36.07,0.16,0.017,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,balanced,Greedy,h_ALT,Greedy (h_ALT),True,9.400886215317433,9.400886215317433,1.0,30,21,0.81,9.0616,0.9639,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,balanced,A*,h_ALT,A* (h_ALT),True,9.400886215317433,9.400886215317433,1.0,30,19,0.6,9.0616,0.9639,27
Shahbagh → Karwan Bazar,"Short, nearby neighborhoods",1449.3580107326077,balanced,Weighted A*,h_ALT,Weighted A* (h_ALT),True,9.400886215317433,9.400886215317433,1.0,30,19,0.62,9.0616,0.9639,27
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,fastest,BFS,none,BFS,True,20.508110444190695,19.464847966000484,1.0535972579910458,7879,266,6.29,0.0,0.0,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,fastest,DFS,none,DFS,True,319.2574288800927,19.464847966000484,16.401742743521243,8891,1583,9.97,0.0,0.0,1142
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,fastest,UCS,none,UCS,True,19.464847966000484,19.464847966000484,1.0,8206,224,34.7,0.0,0.0,72
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,fastest,IDS,none,IDS,True,51.38570783862132,19.464847966000484,2.6399234110832737,348811,155,200.91,0.0,0.0,181
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,fastest,Greedy,h_old,Greedy (h_old),True,24.061847120423593,19.464847966000484,1.2361692812835092,105,77,0.48,0.6575,0.0338,78
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,fastest,A*,h_old,A* (h_old),True,19.464847966000484,19.464847966000484,1.0,8025,225,45.05,0.6575,0.0338,72
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,fastest,Weighted A*,h_old,Weighted A* (h_old),True,19.464847966000484,19.464847966000484,1.0,7925,223,44.14,0.6575,0.0338,72
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,fastest,Greedy,h_B,Greedy (h_B),True,24.061847120423593,19.464847966000484,1.2361692812835092,105,77,29.15,0.9163,0.0471,78
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,fastest,A*,h_B,A* (h_B),True,19.464847966000484,19.464847966000484,1.0,7946,224,71.37,0.9163,0.0471,72
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,fastest,Weighted A*,h_B,Weighted A* (h_B),True,19.464847966000484,19.464847966000484,1.0,7782,228,71.19,0.9163,0.0471,72
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,fastest,Greedy,h_ALT,Greedy (h_ALT),True,31.244695781020877,19.464847966000484,1.605185708904401,193,92,3.27,18.5997,0.9556,107
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,fastest,A*,h_ALT,A* (h_ALT),True,19.464847966000484,19.464847966000484,1.0,258,88,4.74,18.5997,0.9556,72
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,fastest,Weighted A*,h_ALT,Weighted A* (h_ALT),True,19.855460883936193,19.464847966000484,1.0200676069300925,242,84,4.02,18.5997,0.9556,71
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,safest,BFS,none,BFS,True,18.43129798727337,16.44298223021934,1.120921845515338,7879,266,6.06,0.0,0.0,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,safest,DFS,none,DFS,True,582.9328114274372,16.44298223021934,35.451769226880764,8891,1583,9.88,0.0,0.0,1142
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,safest,UCS,none,UCS,True,16.44298223021934,16.44298223021934,1.0,5412,443,24.73,0.0,0.0,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,safest,IDS,none,IDS,True,83.7153014826914,16.44298223021934,5.091248066232003,348811,155,196.98,0.0,0.0,181
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,safest,Greedy,h_old,Greedy (h_old),True,27.165242142005926,16.44298223021934,1.6520873015407715,105,77,0.49,0.0939,0.0057,78
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,safest,A*,h_old,A* (h_old),True,16.44298223021934,16.44298223021934,1.0,5367,444,31.79,0.0939,0.0057,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,safest,Weighted A*,h_old,Weighted A* (h_old),True,16.44298223021934,16.44298223021934,1.0,5351,446,31.61,0.0939,0.0057,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,safest,Greedy,h_B,Greedy (h_B),True,27.165242142005926,16.44298223021934,1.6520873015407715,105,77,29.35,0.2424,0.0147,78
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,safest,A*,h_B,A* (h_B),True,16.44298223021934,16.44298223021934,1.0,5301,444,60.36,0.2424,0.0147,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,safest,Weighted A*,h_B,Weighted A* (h_B),True,16.44298223021934,16.44298223021934,1.0,5253,448,59.89,0.2424,0.0147,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,safest,Greedy,h_ALT,Greedy (h_ALT),True,90.6847864697792,16.44298223021934,5.5151057879948535,719,209,10.84,12.6135,0.7671,171
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,safest,A*,h_ALT,A* (h_ALT),True,16.44298223021934,16.44298223021934,1.0,276,132,4.95,12.6135,0.7671,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,safest,Weighted A*,h_ALT,Weighted A* (h_ALT),True,16.504419375481223,16.44298223021934,1.003736374849872,404,154,6.82,12.6135,0.7671,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,BFS,none,BFS,True,21.299615439992348,20.41584569614864,1.0432884219932377,7879,266,5.49,0.0,0.0,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,DFS,none,DFS,True,521.4543888935962,20.41584569614864,25.541650179691857,8891,1583,9.4,0.0,0.0,1142
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,UCS,none,UCS,True,20.41584569614864,20.41584569614864,1.0,6688,338,29.38,0.0,0.0,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,IDS,none,IDS,True,74.24032133010482,20.41584569614864,3.6364068594087158,348811,155,194.88,0.0,0.0,181
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,Greedy,h_old,Greedy (h_old),True,28.451992345622486,20.41584569614864,1.3936230107278793,105,77,0.49,0.1879,0.0092,78
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,A*,h_old,A* (h_old),True,20.41584569614864,20.41584569614864,1.0,6630,342,37.89,0.1879,0.0092,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,Weighted A*,h_old,Weighted A* (h_old),True,20.41584569614864,20.41584569614864,1.0,6601,344,37.86,0.1879,0.0092,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,Greedy,h_B,Greedy (h_B),True,28.451992345622486,20.41584569614864,1.3936230107278793,105,77,29.13,0.6134,0.03,78
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,A*,h_B,A* (h_B),True,20.41584569614864,20.41584569614864,1.0,6488,345,65.17,0.6134,0.03,64
Dhanmondi-27 → Gulshan-1,"Medium, cross-city diagonal",5557.978683044755,balanced,Weighted A*,h_B,Weighted A* (h_B),True,20.41584569614864,20.41584569614864,1.0,6369,353,65.95,0.6134,0.03,64
